^:<name=mazusanzijin footnote=ck>	note
1.憶	追思，追尋古時。
1.禎祥現	吉祥出現。
1.現麟瑞	發現麒麟之祥瑞。
1.追	追思過去的事。
1.茲	此時就是現在。
1.武聖人	武藝出神入化。
1.關羽	字雲長是關聖帝君之尊名。
1.湄州	在福建省莆田縣。
1.積	累積。
1.慶	吉慶。
1.有餘	不盡之意。
1.彌月	生後滿一個月，啼，是哭也。
1.幼	幼年，初就學，曰：幼學，文，是論文。詩，是詩詞。
1.倫	五倫。五倫者：父子有親、君臣有義、夫妻有別、長幼有序、朋友有信。
1.真訣	修道之秘訣，靈機，是修道之靈妙玄機。三教書，是儒教、道教、釋教之經書。
1.上論篇	論語二十篇，分為上下論。
1.華嚴經	佛教的經典。
1.三昧	梵語，其為正定。正定者，屏絕諸緣，專一虛寂。
1.道德經	道教太上老君著造之經典。
1.悟真篇	丹經之名。
1.參同契	丹經之名。
1.黃庭經	亦是書名。
1.憑據	證據。
1.藏	藏經。^edit 應是指如來藏思想，Tathagatha Garbha
1.極樂地	極樂世界。
1.斗柄	斗星之柄。
1.回	旋轉。轉生機，是轉換生機。
1.玄關	佛家謂入道之門。
1.竅	機竅。
1.當	當作。
1.縫	縫合。
1.塔	非世上之寶塔，乃人身固有之塔。
1.偃月爐	寓言也。
1.硃砂鼎	煉丹所用之器。靈芝，是藥物。法，是修士玄秘法則。窮，是究。性理，是先天之真靈。
1.盡性	明善複初。立命機，是築基礎。三寶足，是補足精，氣，神。歸是歸還。
1.四大假	人身乃地、水、火、風四大合成之假體。
1.還	歸源。
1.太虛	虛極。六十四卦，是八卦交配。
1.靈體	不壞之金剛寶體。
1.得此法	得此玄微妙法，
1.上天梯	有梯有路可上天。
1.陽神	就是聖胎。
1.頗奇	甚奇異。
1.二將	指千里眼、順風耳，二位神將。
1.通玄女	眾人對聖母的稱呼。
1.丹熟	金丹煉成，
1.純陽體	身中之陰抽盡，六爻皆純陽。法身，是聖胎。
1.顏子	指顏夫子。上帝詔，是指玉皇上帝的詔書。
1.登湄峯	登上山之高峰，
1.瑤池	在虛靈勝境。
1.王母	無極聖母。登金闕，是登上靈宵寶殿。
1.封	敕封。
1.位	指爵位。
1.榮	光榮。
1.貴	貴顯。
1.宣化	宋朝的年號。
1.厚惠	大恩渥。
1.順濟	敕封順濟宮號。
1.欽仰	欽敬尊崇。
1.祀	崇拜。
1.烺	清朝施烺將軍，艦是戰爭所用之船。
1.仁	說愛人無私謂之仁，
1.義	裁制事物使各正道者曰義。
1.浩然	偉大。三才，是天、地、人。
1.芳	香也。
1.史	歷史。
1.涅痕	以針刺字之痕跡。書帶詞，是正氣歌之書中寫的十二名之忠臣烈士。
1.逆賊	是指反賊安祿山。
1.巡	張巡。
1.嚼齒	咬牙切齒。
1.嵇	嵇侍中，名紹。
1.罵斷舌	罵賊，被賊斷其舌。
1.顏	嚴顏
1.烈氣	熱烈之氣。
1.羯	匈奴族。
1.楫	音緝乃行舟之槳。
1.笏	奏板。
1.賊	指奸賊。
1.正氣	浩然之氣。
1.敏裙詩	敏者滯否不言也，故可解為默而無言。而題詩於裙，乃曰敏裙詩。
1.血書	刺血寫書。絕命，是死。
1.詞	歌詞。
1.躬	身軀。
1.瘁	勞苦。
1.畏	怕。
1.擎	扶持。
1.維	綱也。
1.綱常	三綱五常。
1.持	遵守履行。
1.凜烈氣	遵守節烈義氣，
1.垂	流傳。
1.克	能也。
1.枚舉	一一可算。
1.追歷山	追思大舜耕田之地。
1.冰求鯉	昔日王祥臥冰求鯉魚。
1.蚊飽血	以自身之血使蚊飽食。
1.嚐糞奇	嚐食大便奇異。
1.搤	握。
1.嚙	咬。
1.賣身葬	賣其自己之身，葬其自己之父。
1.滌溺器	清洗便溺之器。
1.姑	夫之母也。
1.躍	跳。
1.哭	抱竹而哭。
1.賜	天賞賜。
1.巨	郭巨。
1.隨	隨母之希望。
1.七年粟	粟名。
1.西籬	西旁籬下。
1.截	截竹為桶。
1.竹遺	以竹桶貯生魚遺於水中流回。
1.綵	綵衣。
1.戲	遊戲娛親。
1.先嘗藥	湯藥要奉親必須自己先試飲，無害而奉母。
1.遠負米	負米奉親。
1.杖	柺，又刑也。
1.箠	亦謂打也。
1.容	茅容也。
1.烹雞	宰雞烹調奉母。
1.棄官尋	棄卻官職，出外鄉尋母。
1.刻木事	以木雕刻雙親之像而奉事之。
1.遺	留下。
1.順單衣	是單衣順母意。
1.鹿乳奉	取鹿乳奉親。
1.椹	桑實。
1.傭	為人雇役。
1.聞雷淚	聞雷聲就泣淚。
1.羹	菜雜以肉絲。
1.膳	膳食。
1.懿德	醇美之德。
1.秉彝	秉受於天之常道，
1.廉士	廉潔之人士。
1.握	執定。
1.懷冰志	抱定，雪取其白，冰取其清。
1.鶴俸	俸祿，又稱鶴科。
1.魚飱	魚羹湯。
1.范宣	乃人名也。
1.堅	堅志。
1.百絹	百疋絹布。
1.慎	盧懷慎。
1.懷廉	懷抱清廉。
1.飲投錢	馬飲水，而投錢於水邊買水。
1.越石	石名。
1.稷	人名。
1.棄	不受，
1.廉財色	不貪財物美女。
1.武	周武王。
1.伯夷	人名。伯夷、叔齊，乃是孤竹君的兩個兒子，孤竹國	商時附屬的小國。
1.婪	與貪同意。
1.效之	學習。
1.宜	應當。
1.訓	教訓。
1.備	齊備。
1.宜順義	生存在世間義，是夫義婦順之道義。
1.歿	死也。
1.令女	人名。
1.曹	夫之姓。
1.毀耳	自割其耳。
1.廖伯妻	指廖伯之妻，斷指以表潔貞
1.梁	梁國。
1.范慎	人名。
1.趙高妻	名禮修，同郡張氏女也。
1.剔目	挖目。
1.玄齡	唐朝名相房玄齡。
1.卻	拒卻。
1.金戲	以金錢而戲弄。
1.刎頸	割頭。
1.斃	死亡。
1.却寶帶	說秦良玉忠州人女，嫁石砫宣撫使，馬千乘為妻。辭謝了皇帝所賜的裙釵寶帶，保全了夫義。
1.縈	緹縈也。
1.盧	孝婦之姓。
1.冒	蒙受。
1.刃	刀。
1.衛	保護。
1.陳	也是孝婦之姓。
1.竭力	盡力。
1.事	奉事老母。
1.疾	疾病。
1.夙締	夙事締結之姻緣。
1.剪皮金	解以金仔紙剪一香字對侍女表示。
1.封夫人	封是姓，說臺壁，渤海封夫人。
1.逝	死。
1.徐	徐姓節性婦。
1.飲血	泣血飲淚之意。
1.粉	白粉。
1.扉	門板。
1.烏鵲	一種鳥名。
1.黃鵠	一種鳥名。
1.陶嬰	人名魯門之女。
1.禮宗	人尊稱其節。
1.楚貞姜	楚國國王夫人之名。
1.束髮封	以繩縛髮、以帛封之
1.賈直	人名。
1.卒	死。
1.墬崖	跳下深坑絕壁。
1.楚	楚國。
1.貞姬	吳王尊重其守節有義之號。
1.蓆草業	以草織蓆為業，以營生活之計。
1.懷	懷念。
1.清	人名。
1.巴	地名。
1.清風嶺	在浙江紹興府嵊縣。
1.斑	斑點。
1.崩城	城壁崩倒，
1.詠	唱，吟詠。
1.柏舟	人名，以人名為題詩。
1.託	寄託。
1.磨笄	地名。
1.效	學也。
1.菩薩	梵語。菩提薩埵之簡稱，位次於佛，菩提者覺之義，薩埵者眾生之義，謂既能自覺本性，又能普度眾生也，
1.賢儒	謂儒中之賢者。
1.華胥	國土之名。
1.上帝	玉帝之尊稱。
1.仙妃	仙女。
1.先哲	古之先賢。
1.人師	為人之模範。
1.此	指忠孝廉節四篇。
1.三台星	台字作胎宣讀，三台星，是上台，中台，下台、之三星。
1.北斗魁	亦是北斗七星。
1.列	次序並列。
1.三尸	說太上感應篇云：有三尸神在人身中，分別善惡。計錄是非。
1.天曹	天界辦事的地方，
1.褒	獎。
1.貶	罰。
1.千里眼	聖母身邊的兩個大將。
1.查探	調查，探聽，
1.詳悉	詳細，知悉。
1.十八獄	陰曹地府，設有十八層地獄，裡面所懲罰的鬼魂，都是那些以前在陽世為人時，行兇作惡的人，死後才被打入十八層地獄的。
1.陰騭文	文昌帝君所著作之經文，又叫「丹桂籍」。
1.感應篇	太上老君著作之警世文。
1.正法規	正道規條。
1.首淫痴	天下萬惡，最大的罪孽，就是淫痴。
1.孝為先	百善之行為，推孝為先。
1.洪水	大水。
1.頤	壽命百歲曰期頤。北斗七星之中，其中之玉衡星，專司人門性命的星君。因此有人拜北斗，祈求增加壽命。
1.嗣	後嗣。
1.血污池	地府囚禁罪魂之所。
1.天堂	極樂世界
1.九祖	九世之祖先，
1.䰬	無頭狂鬼，
1.𩳓	惡鬼。
1.保鄉里	說聖母尚未得道時，就已能用出陽神的法力，出外救人，把保衛鄉里的工作視為重任。
1.功德大	聖母經之功德力大。
1.佈	廣佈。
1.施	濟。
1.甘露	真寶貴之露。
1.法雨	以法比雨之意。
1.真言	咒語。
1.乾隆	清朝之乾隆君。
1.禪師	和尚。
1.淨土寺	廟名。
1.術	法術，
1.乩	桃乩。
1.跡	事跡。
1.一經	指一卷聖母經。